name,type,location,farm_days
"Asas Luminescentes","Material de Elevação de Personagem","Dropado por Borboleta Fantasmagórica do Véu Lunar Nv.30+","Todos os dias"
"Tetraedro da Luz Guiadora","Material de Elevação de Personagem","Dropado por Matriz de Controle Semi-perpétua Nv.30+","Todos os dias"
"Osso Sem Luz","Material de Fortalecimento de Arma e Personagem","Dropado por Feras Radiantes","Todos os dias"
"Olho do Vórtice Sem Luz","Material de Elevação de Personagem","Recompensa do Desafio ""Baleia Devoradora"" Nível 70+","Todos os dias"
"Massa Sem Luz","Material de Elevação de Personagem","Recompensa do Desafio ""Baleia Devoradora"" Nível 70+","Todos os dias"
"Fio de Seda Sem Luz","Material de Elevação de Personagem","Recompensa do Desafio ""Baleia Devoradora"" Nível 70+","Todos os dias"
"Prisma do Relâmpago","Material de Elevação de Personagem","Dropado pelo Hypostasis Electro Nv.30+","Todos os dias"
"Locus da Determinação Inequívoca","Material de Fortalecimento de Arma e Personagem","Dropado por Manifestações Wayob Nv. 40+","Todos os dias"
"Campânula Lumidouce","Especialidade de Fontaine","Encontrado ao norte da Corte de Fontaine","Todos os dias"
"Pólen fluorescente","Material de Fortalecimento de Arma e Personagem","Dropado por Cogumelos Nv.40+","Todos os dias"
"Areia Brilhante de Guyun","Material de Ascensão de Armas","Domínio da Forja: Altar da Tempestade","Seg, Qui, Dom"
"Lumitoile","Especialidade de Fontaine","Recomendação: encontrado na Região Liffey","Todos os dias"
"Nadadeira Lunar","Material de Fortalecimento de Arma e Personagem","Dropado por Bestas Xuanwen Nv.40+","Todos os dias"
"Pedra Lustrosa de Guyun","Material de Ascensão de Armas","Domínio da Forja: Altar da Tempestade","Seg, Qui, Dom"
"Contenções do Louco","Material de Elevação de Personagem","Recompensa do Desafio de Dottore Nv.70+","Todos os dias"
"Bico-Gancho do Terrorgumelo","Material de Elevação de Personagem","Dropado por Terrorgumelo Emplumado Nv.30+","Todos os dias"
"Núcleo de Marionete","Material de Elevação de Personagem","Dropado por Maguu Kenki Nv.30+","Todos os dias"
"Casco Marcado","Material de Fortalecimento de Arma e Personagem","Dropado por Besta da Ossada Sagrada Nv.60+","Todos os dias"
"Marca da Bênção Vinculadora","Material de Elevação de Personagem","Dropado por Tirano Qucussauro da Chama Dourada Nv. 30+","Todos os dias"
"Máscara de Kijin","Material de Ascensão de Armas","Domínio da Forja: Sepultura da Areia Movediça","Qua, Sáb, Dom"
"Máscara Daquele com Um Chifre","Material de Ascensão de Armas","Domínio da Forja: Sepultura da Areia Movediça","Qua, Sáb, Dom"
"Máscara da Mordida do Tigre","Material de Ascensão de Armas","Domínio da Forja: Sepultura da Areia Movediça","Qua, Sáb, Dom"
"Máscara do Doutor Virtuoso","Material de Elevação de Personagem","Recompensa do Desafio de Dottore Nv.70+","Todos os dias"
"Máscara do Tenente Perverso","Material de Ascensão de Armas","Domínio da Forja: Sepultura da Areia Movediça","Qua, Sáb, Dom"
"Dose Comedida do Néctar Espiritual","Material de Ascensão de Armas","Domínio da Forja: Corrente de Trilho","Ter, Sex, Dom"
"Engrenagem Reta","Material de Fortalecimento de Arma e Personagem","Dropado por Mecautômatos Nv. 40+","Todos os dias"
"Engrenagem Transmissora","Material de Fortalecimento de Arma e Personagem","Dropado por Mecautômatos","Todos os dias"
"Lentes Desalmadas","Material de Elevação de Personagem","Recompensa do Desafio ""Shouki no Kami"" Nível 70+","Todos os dias"
"Grama do Nevoeiro","Material de Fortalecimento de Arma e Personagem","Dropado pelas Feiticeiras Cincin de Fatui Nv.40+","Todos os dias"
"Pólen de Névoa","Material de Fortalecimento de Arma e Personagem","Dropado pelos Feiticeiros Cicin de Fatui","Todos os dias"
"Pavio do Nevoeiro","Material de Fortalecimento de Arma e Personagem","Dropado pelas Feiticeiras Cincin dos Fatui Nv.60+","Todos os dias"
"Capacete da Névoa","Material de Fortalecimento de Arma e Personagem","Dropado por Caçada Feroz da Terra Devastada Nv. 60+","Todos os dias"
"Névoa Solidificada","Material de Fortalecimento de Arma e Personagem","Dropado por Caçada Feroz da Terra Devastada","Todos os dias"
"Placa da Névoa","Material de Fortalecimento de Arma e Personagem","Dropado por Caçada Feroz da Terra Devastada Nv. 40+","Todos os dias"
"Elixir de Ouro com Véu de Névoa","Material de Ascensão de Armas","Domínio da Forja: Ruínas Estrondosas","Ter, Sex, Dom"
"Elixir de Chumbo Velado por Névoa","Material de Ascensão de Armas","Domínio da Forja: Ruínas Estrondosas","Ter, Sex, Dom"
"Elixir de Mercúrio com Véu de Névoa","Material de Ascensão de Armas","Domínio da Forja: Ruínas Estrondosas","Ter, Sex, Dom"
"Alternação das Nuvens e o Mar","Material de Ascensão de Armas","Domínio da Forja: Ruínas Estrondosas","Ter, Sex, Dom"
"Momento Derretido","Material de Elevação de Personagem","Recompensa do Desafio de Signora Nv.70+","Todos os dias"
"Prata Lunar","Especialidade de Nod-Krai","Encontrado na Ilha Hiisi","Todos os dias"
"Flor do Luto","Especialidade de Sumeru","Encontrado no deserto de Sumeru","Todos os dias"
"Movimento de uma Corda Antiga","Material de Ascensão de Armas","Domínio da Forja: Consciência Robótica","Seg, Qui, Dom"
"Mudra da Shogun Maléfica","Material de Elevação de Personagem","Recompensa do Desafio da Guardiã da Eternidade (Nível 70+)","Todos os dias"
"Reunião do Exército da Estrela Azul","Material de Ascensão de Armas","Domínio da Forja: Ferro Fundido","Seg, Qui, Dom"
"Minério de Refinamento Místico","Material de Fortalecimento de Arma","Obtém ao Forjar","Todos os dias"
"Pedaço de Esmeralda Nagadus","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Fragmento de Esmeralda Nagadus","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Gema de Esmeralda Nagadus","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Lasca de Esmeralda Nagadus","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Erva Naku","Especialidade de Inazuma","Recomendação: Encontrado em Tatarasuna","Todos os dias"
"O Afeto de Narukami","Material de Ascensão de Armas","Domínio da Forja: Altar da Areia","Ter, Sex, Dom"
"A Alegria de Narukami","Material de Ascensão de Armas","Domínio da Forja: Altar da Areia","Ter, Sex, Dom"
"A Coragem de Narukami","Material de Ascensão de Armas","Domínio da Forja: Altar da Areia","Ter, Sex, Dom"
"A Sabedoria de Narukami","Material de Ascensão de Armas","Domínio da Forja: Altar da Areia","Ter, Sex, Dom"
"Fantasma Hydro Corrompido Recém-nascido","Material de Fortalecimento de Arma e Personagem","Dropado por Eidolons Hydro Contaminados Nv.60+","Todos os dias"
"Sofrimento Místico do Vento Noturno","Material de Ascensão de Armas","Domínio da Forja: Estimativa","Qua, Sáb, Dom"
"Consideração Mística do Vento Noturno","Material de Ascensão de Armas","Domínio da Forja: Estimativa","Qua, Sáb, Dom"
"Premonição Mística do Vento Noturno","Material de Ascensão de Armas","Domínio da Forja: Estimativa","Qua, Sáb, Dom"
"Revelação Mística do Vento Noturno","Material de Ascensão de Armas","Domínio da Forja: Estimativa","Qua, Sáb, Dom"
"Lótus Nilotpala","Especialidade de Sumeru","Encontrado nos corpos d'água de Sumeru","Todos os dias"
"Jade Nocticulosa","Especialidade de Liyue","Encontrado nas Cavernas em Liyue","Todos os dias"
"Graça do Jardim Oásis","Material de Ascensão de Armas","Domínio da Forja: Obsessão","Ter, Sex, Dom"
"Luto do Jardim Oásis","Material de Ascensão de Armas","Domínio da Forja: Obsessão","Ter, Sex, Dom"
"Reminiscência do Jardim Oásis","Material de Ascensão de Armas","Domínio da Forja: Obsessão","Ter, Sex, Dom"
"Verdade do Jardim Oásis","Material de Ascensão de Armas","Domínio da Forja: Obsessão","Ter, Sex, Dom"
"Oração do Herdeiro do Norte","Material de Ascensão de Armas","Domínio da Forja: Oblação Lunar","Qua, Sáb, Dom"
"Glória Passada do Poder Escaldante","Material de Ascensão de Armas","Domínio da Forja: Prarabdha Karma","Qua, Sáb, Dom"
"Protetor de Mão Velho","Material de Fortalecimento de Arma e Personagem","Dropado pelos Nobushi","Todos os dias"
"Relógio de Bolso do Velho Servo","Material de Fortalecimento de Arma e Personagem","Dropado por Fatui Oficial","Todos os dias"
"Máscara Ominosa","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurls Nv.60+","Todos os dias"
"Onikabuto","Especialidade de Inazuma","Recomendação: Encontrado na Ilha Narukami","Todos os dias"
"Constância do Servo","Material de Fortalecimento de Arma e Personagem","Dropado por Fatui Oficial Nv. 60+","Todos os dias"
"Relógio de Bolso Padrão do Servo","Material de Fortalecimento de Arma e Personagem","Dropado por Fatui Oficial Nv. 40+","Todos os dias"
"Fogorromã Madura","Material de Elevação de Personagem","Dropado por Yumkassauro Guloso Lorde da Montanha Nv. 30+","Todos os dias"
"Padisarah","Especialidade de Sumeru","Encontrado nas redondezas da Cidade de Sumeru","Todos os dias"
"Calibre Perpétuo","Material de Elevação de Personagem","Dropado pelo Dragão Calamitoso Nv.30+","Todos os dias"
"Coração do Mecanismo Contínuo","Material de Elevação de Personagem","Dropado pela Formação Mecânica Perpétua Nv.30+","Todos os dias"
"Cogumelo Philanemo","Especialidade de Mondstadt","Encontrado sob os beirais das casas","Todos os dias"
"Filosofia da Admoestação","Material de Talento do Personagem","Domínio da Proficiência: Lua Cheia","Seg, Qui, Dom"
"Filosofia de Poemas","Material de Talento do Personagem","Domínio da Proficiência: Reino do Sono","Qua, Sáb, Dom"
"Filosofia da Caridade","Material de Talento do Personagem","Domínio da Proficiência: Contemplação","Seg, Qui, Dom"
"Filosofia do Conflito","Material de Talento do Personagem","Domínio da Proficiência: Retorno","Qua, Sáb, Dom"
"Filosofia da Disputa","Material de Talento do Personagem","Domínio da Proficiência: Transição","Seg, Qui, Dom"
"Filosofia de Esforço","Material de Talento do Personagem","Domínio da Proficiência: Coração das Chamas","Ter, Sex, Dom"
"Filosofia da Cultura","Material de Talento do Personagem","Domínio da Proficiência: Vale dos Raios","Ter, Sex, Dom"
"Filosofia do Elísio","Material de Talento do Personagem","Domínio da Proficiência: Legado Sombrio","Ter, Sex, Dom"
"Filosofia da Igualdade","Material de Talento do Personagem","Domínio da Proficiência: Ritmo Melódico","Seg, Qui, Dom"
"Filosofia da Tenacidade","Material de Talento do Personagem","Domínio da Proficiência: Eremitério","Ter, Sex, Dom"
"Filosofia da Liberdade","Material de Talento do Personagem","Domínio da Proficiência: Altar Congelado","Seg, Qui, Dom"
"Filosofia da Glória","Material de Talento do Personagem","Domínio da Proficiência: Visão Compartilhada","Qua, Sáb, Dom"
"Filosofia de Ouro","Material de Talento do Personagem","Domínio da Proficiência: Círculos de Fogo","Qua, Sáb, Dom"
"Filosofia da Engenhosidade","Material de Talento do Personagem","Domínio da Proficiência: Sarcasmo","Ter, Sex, Dom"
"Filosofia da Justiça","Material de Talento do Personagem","Domínio da Proficiência: Retórica","Ter, Sex, Dom"
"Filosofia da Ignição","Material de Talento do Personagem","Domínio da Proficiência: Alienação","Ter, Sex, Dom"
"Filosofia da Luz Celeste","Material de Talento do Personagem","Domínio da Proficiência: Cidade Abandonada ao Kudzu","Qua, Sáb, Dom"
"Filosofia do Luar","Material de Talento do Personagem","Domínio da Proficiência: Cidade Caída","Seg, Qui, Dom"
"Filosofia da Ordem","Material de Talento do Personagem","Domínio da Proficiência: Recital Cristalino","Qua, Sáb, Dom"
"Filosofia da Práxis","Material de Talento do Personagem","Domínio da Proficiência: Cânone Páli","Qua, Sáb, Dom"
"Filosofia de Prosperidade","Material de Talento do Personagem","Domínio da Proficiência: Altar de Chamas","Seg, Qui, Dom"
"Filosofia de Resistência","Material de Talento do Personagem","Domínio da Proficiência: Abismo Congelante","Ter, Sex, Dom"
"Filosofia do Mundo Mortal","Material de Talento do Personagem","Domínio da Proficiência: País Violeta","Seg, Qui, Dom"
"Filosofia da Peregrinação","Material de Talento do Personagem","Domínio da Proficiência: Poleiro Virado","Qua, Sáb, Dom"
"Pedaço de Aerosiderite","Material de Ascensão de Armas","Domínio da Forja: Campo de Julgamento dos Trovões","Qua, Sáb, Dom"
"Âmbar de Pinheiro","Especialidade de Nod-Krai","Encontrado no Pântano dos Pesadelos","Todos os dias"
"Pluma do Guardião Caído","Material de Elevação de Personagem","Dropado por Guardião: Vigia Caída Nv.30+","Todos os dias"
"Prisma Polarizado","Material de Fortalecimento de Arma e Personagem","Dropado por Fatui - Dama de Snezhnaya Nv.60+","Todos os dias"
"Rolamento Portátil","Especialidade de Nod-Krai","Encontrado perto do Lago Âmbar Azul","Todos os dias"
"Eixo de Precisão","Material de Fortalecimento de Arma e Personagem","Dropado por Cruzadores Patrulheiros Nv. 60+","Todos os dias"
"Carimbo de Precisão de Kuuvahki","Material de Elevação de Personagem","Dropado por Marreco Marreta Nv.30+","Todos os dias"
"Nexo Quimérico Primordial","Material de Fortalecimento de Arma e Personagem","Dropado por Monstros Quiméricos Anômalos Nv.60+","Todos os dias"
"Florescência Primogênita do Oásis","Material de Elevação de Personagem","Recompensa do Desafio Guardião do Oásis de Apep de Nv.70+","Todos os dias"
"Cauda Partida Prismática","Material de Elevação de Personagem","Dropado por Lagartixa Radiante Nv.30+","Todos os dias"
"Pedaço de Topázio Prithiva","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Fragmento de Topázio Prithiva","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Gema de Topázio Prithiva","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Lasca de Topázio Prithiva","Material de Ascensão de Personagem","Comprado na Loja de Lembranças","Todos os dias"
"Broto Profano","Material de Elevação de Personagem","Recompensa do Desafio de Dottore Nv.70+","Todos os dias"
"Falso Estame","Material de Elevação de Personagem","Dropado por Vermes da Areia Setekh Nv.30+","Todos os dias"
"Fios da Marionete","Material de Elevação de Personagem","Recompensa do Desafio ""Shouki no Kami"" Nível 70+","Todos os dias"
"Qingxin","Especialidade de Liyue","Recomendação: Encontrado no Relevo de Jueyun","Todos os dias"
"Vinhas da Destruição","Material de Elevação de Personagem","Dropado por Hypostasis Dendro Nv.30+","Todos os dias"
"Baga Quenepa","Especialidade de Natlan","Recomendação: Encontrado na Montanha Coatepec","Todos os dias"
"Chifre Brilhante","Material de Elevação de Personagem","Dropado por Nobre da Noite Gelada Nv. 30+","Todos os dias"
"Exoesqueleto Radiante","Material de Fortalecimento de Arma e Personagem","Dropado por Feras Radiantes Nv.60+","Todos os dias"
"Prisma Radiante","Material de Fortalecimento de Arma e Personagem","Dropado pelas Estruturas Primordiais de Nv. 60+","Todos os dias"
"Rosa Arco-Íris","Especialidade de Fontaine","Recomendação: encontrado no Distrito Beryl","Todos os dias"
"Insígnia de Recruta","Material de Fortalecimento de Arma e Personagem","Dropado pelos Soldados dos Fatui","Todos os dias"
"Broto Refratante","Material de Fortalecimento de Arma e Personagem","Dropado por Mimiflora Abissal","Todos os dias"
"Eixo Reforçado","Material de Fortalecimento de Arma e Personagem","Dropado por Cruzadores Patrulheiros Nv. 40+","Todos os dias"
"Relíquia de Guyun","Material de Ascensão de Armas","Domínio da Forja: Altar da Tempestade","Seg, Qui, Dom"
"Brilho Remanescente do Poder Escaldante","Material de Ascensão de Armas","Domínio da Forja: Prarabdha Karma","Qua, Sáb, Dom"
"Carcaça da Asa Terrível","Material de Elevação de Personagem","Dropado por Lorde das Profundezas Desconhecidas: Sussurrador de Pesadelos Nv.30+","Todos os dias"
"Folia do Néctar Espiritual","Material de Ascensão de Armas","Domínio da Forja: Corrente de Trilho","Ter, Sex, Dom"
"Cetim Vermelho","Material de Fortalecimento de Arma e Personagem","Dropado pelos Eremitas Nv.60+","Todos os dias"
"Chifre do Rei Canino","Material de Elevação de Personagem","Dropado pelo Rei Canino Dourado Nv.30+","Todos os dias"
"Núcleo da Fenda","Material de Fortalecimento de Arma e Personagem","Dropado por Primofissurador","Todos os dias"
"Cálice do Vento Norte","Material de Elevação de Personagem","Recompensa do Desafio do Lobo do Norte Nv.70+","Todos os dias"
"Ascensão do Exército da Estrela Azul","Material de Ascensão de Armas","Domínio da Forja: Ferro Fundido","Seg, Qui, Dom"
"Núcleo Fúngico Robusto","Material de Fortalecimento de Arma e Personagem","Dropado por Cogumelos (Estado Ativo) Nv.60+","Todos os dias"
"Flor Rociomarinha","Especialidade de Fontaine","Recomendação: Encontrado na Planície Salacia","Todos os dias"
"Punho Danificado","Material de Fortalecimento de Arma e Personagem","Dropado por Guarda Pretoriano Golem","Todos os dias"
"Cogumelo Rukkhashava","Especialidade de Sumeru","Recomendação: Coletável no Reino Ashavan","Todos os dias"
"Presa Rúnica","Material de Elevação de Personagem","Dropado por Serpentes das Ruínas de Nv.30+","Todos os dias"
"Pétalas da Flor de Sakura","Especialidade de Inazuma","Recomendação: Encontrado na Ilha Narukami","Todos os dias"
"Gordura de Pupa de Areia","Especialidade de Sumeru","Encontrado nos desertos de Sumeru","Todos os dias"
"Pérola Sango","Especialidade de Inazuma","Recomendação: Encontrado na Ilha Watatsumi","Todos os dias"
"Suculenta de Garra Sauriana","Especialidade de Natlan","Recomendação: Encontrado nos Veios Sulfurosos","Todos os dias"
"Apito Dourado do Guerreiro de Coroa Sauriana","Material de Fortalecimento de Arma e Personagem","Dropado por Guerreiro Tribal Sauriano Nv. 60+","Todos os dias"
"Escaravelho Dourado","Especialidade de Sumeru","Encontrado nas ruínas do deserto de Sumeru","Todos os dias"
"Pedaços de Sonho da Decarabian","Material de Ascensão de Armas","Domínio da Forja: Cidade das Reflexões","Seg, Qui, Dom"
"Colherada de Água Impura","Material de Fortalecimento de Arma e Personagem","Dropado por Eidolons Hydro Contaminados Nv.40+","Todos os dias"
"Fungos Marítimos","Especialidade de Inazuma","Pode ser encontrado nas águas do mar de Inazuma","Todos os dias"
"Pergaminho do Encantamento","Material de Fortalecimento de Arma e Personagem","Dropado por Samachurls Nv.40+","Todos os dias"
"Presa Veterana","Material de Fortalecimento de Arma e Personagem","Dropado por Saurianos de Natlan Nv. 40+","Todos os dias"
"Acumulador de Ventilação da Fonte Secreta","Material de Elevação de Personagem","Dropado por Autômato da Fonte Secreta: Dispositivo Supervisor Nv. 30+","Todos os dias"
"Apito de Madeira do Sentinela","Material de Fortalecimento de Arma e Personagem","Dropado por Guerreiro Tribal Sauriano","Todos os dias"
"Insígnia de Sargento","Material de Fortalecimento de Arma e Personagem","Dropado pelos Soldados dos Fatui Nv.40+","Todos os dias"
"Cauda Partida do Viajante dos Céus","Material de Elevação de Personagem","Dropado por Leão Alado Quimérico Nv.30+","Todos os dias"
"Manilhas do Gladiador de Dandelion","Material de Ascensão de Armas","Domínio da Forja: Ruínas da Capital Sedenta","Qua, Sáb, Dom"
"Sombra do Guerreiro","Material de Elevação de Personagem","Recompensa do Desafio de Childe Nv.70+","Todos os dias"
"Fragmento de Espada do Rei Demônio","Material de Elevação de Personagem","Recompensa do Desafio de Childe Nv.70+","Todos os dias"
"Fragmento da Determinação Despedaçada","Material de Fortalecimento de Arma e Personagem","Dropado por Manifestações Wayob","Todos os dias"
"Ponta de Flecha Afiada","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurls Arqueiros Nv.40+","Todos os dias"
"Revestimento da Fonte Secreta","Material de Fortalecimento de Arma e Personagem","Dropado por Autômato da Fonte Secreta: Caçador-Perseguidor Nv. 40+","Todos os dias"
"Néctar Brilhante","Material de Fortalecimento de Arma e Personagem","Dropado por Flores Gigantes Nv.40+","Todos os dias"
"Pedaço de Jade Shivada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Fragmento de Jade Shivada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Gema de Jade Shivada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Lasca de Jade Shivada","Material de Ascensão de Personagem","Comprado na Loja de Lembranças","Todos os dias"
"Símbolo da Determinação Andarilha","Material de Fortalecimento de Arma e Personagem","Dropado por Manifestações Wayob Nv. 60+","Todos os dias"
"Pluma de Seda","Material de Elevação de Personagem","Recompensa do Desafio da Serva Nv.70+","Todos os dias"
"Flor de Seda","Especialidade de Liyue","Encontrado perto do Terraço Yujing em Liyue","Todos os dias"
"Cálice de Prata do Mar Pristino","Material de Ascensão de Armas","Domínio da Forja: Mecanismos Engenhosos","Qua, Sáb, Dom"
"Insígnia do Corvo Prateado","Material de Fortalecimento de Arma e Personagem","Dropado pelos Ladrões de Tesouro Nv.40+","Todos os dias"
"Talismã de Prata do Orvalho Florestal","Material de Ascensão de Armas","Domínio da Forja: Nuvens Contaminadas","Seg, Qui, Dom"
"Florgema Celeste","Especialidade de Natlan","Recomendação: Encontrado em Atocpan","Todos os dias"
"Essência de Slime","Material de Fortalecimento de Arma e Personagem","Dropado por Slimes Nv.60+","Todos os dias"
"Condensado de Slime","Material de Fortalecimento de Arma e Personagem","Dropado por Slimes","Todos os dias"
"Secreção de Slime","Material de Fortalecimento de Arma e Personagem","Dropado por Slimes Nv.40+","Todos os dias"
"Lâmpada de Grama","Especialidade de Mondstadt","Recomendação: Encontrado no Reino dos Lobos","Todos os dias"
"Pérola Ardente","Material de Elevação de Personagem","Dropado por Hypostasis Pyro Nv.30+","Todos os dias"
"Núcleo da Estátua Apagado","Material de Elevação de Personagem","Dropado por Estátuas Dragão de Lava Nv.30+","Todos os dias"
"Coração Espectral","Material de Fortalecimento de Arma e Personagem","Dropado por Espectros Nv.40+","Todos os dias"
"Casca Espectral","Material de Fortalecimento de Arma e Personagem","Dropado pelos Espectros","Todos os dias"
"Núcleo Espectral","Material de Fortalecimento de Arma e Personagem","Dropado por Espectros Nv.60+","Todos os dias"
"Alma do Vento do Norte","Material de Elevação de Personagem","Recompensa do Desafio do Lobo do Norte Nv.70+","Todos os dias"
"Punho Quebrado","Material de Fortalecimento de Arma e Personagem","Dropado por Guarda Pretoriano Golem Nv.40+","Todos os dias"
"Guelra da Espuma","Especialidade de Natlan","Recomendação: Encontrado no Pantanal Toyac","Todos os dias"
"Fonte da Gota de Orvalho Pura Sagrada","Material de Ascensão de Armas","Domínio da Forja: Artesanato","Ter, Sex, Dom"
"Primavera do Primeiro Orvalho","Especialidade de Fontaine","Recomendação: Encontrado debaixo d'água na Região Mortaine","Todos os dias"
"Nódulo da Vida Crescido","Material de Fortalecimento de Arma e Personagem","Dropado por Leshy do Bosque Selvagem Nv.40+","Todos os dias"
"Máscara Suja","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurls Nv.40+","Todos os dias"
"Conchas Estreladas","Especialidade de Liyue","Encontrado nas Costas de Liyue","Todos os dias"
"Punho Incandescente","Material de Fortalecimento de Arma e Personagem","Dropado por Guarda Pretoriano Golem Nv.60+","Todos os dias"
"Pérola da Tempestade","Material de Elevação de Personagem","Dropado por Manifestação Trovejante Nv.30+","Todos os dias"
"Fragmento de osso sólido","Material de Fortalecimento de Arma e Personagem","Dropado pelas Crias de Dragartos Geo de Nível 40+","Todos os dias"
"Casco Duro","Material de Fortalecimento de Arma e Personagem","Dropado por Besta da Ossada Sagrada Nv.40+","Todos os dias"
"Unidade de Subdetecção","Especialidade de Fontaine","Recomendação: encontrado na área do Instituto de Pesquisas de Engenharia de Energia Cinética de Fontaine","Todos os dias"
"Sublimação da Gota de Orvalho Pura Sagrada","Material de Ascensão de Armas","Domínio da Forja: Artesanato","Ter, Sex, Dom"
"Glória Perdida do Herdeiro do Norte","Material de Ascensão de Armas","Domínio da Forja: Oblação Lunar","Qua, Sáb, Dom"
"Núcleo Quimérico Simbiótico","Material de Elevação de Arma e Personagem","Dropado por Monstros Quiméricos Anômalos Nv.40+","Todos os dias"
"Cauda do Vento do Norte","Material de Elevação de Personagem","Recompensa do Desafio do Lobo do Norte Nv.70+","Todos os dias"
"Talismã da Terra Enigmática","Material de Elevação de Personagem","Dropado por Errante do Proferespírito Nv. 30+","Todos os dias"
"Garantia Desgastada","Material de Fortalecimento de Arma e Personagem","Dropado por Oprichniki Fatui","Todos os dias"
"Ensinamentos de Admoestações","Material de Talento do Personagem","Domínio da Proficiência: Lua Cheia","Seg, Qui, Dom"
"Ensinamentos de Poemas","Material de Talento do Personagem","Domínio da Proficiência: Reino do Sono","Qua, Sáb, Dom"
"Ensinamentos da Caridade","Material de Talento do Personagem","Domínio da Proficiência: Contemplação","Seg, Qui, Dom"
"Ensinamentos do Conflito","Material de Talento do Personagem","Domínio da Proficiência: Retorno","Qua, Sáb, Dom"
"Ensinamentos da Disputa","Material de Talento do Personagem","Domínio da Proficiência: Transição","Seg, Qui, Dom"
"Ensinamentos de Esforço","Material de Talento do Personagem","Domínio da Proficiência: Coração das Chamas","Ter, Sex, Dom"
"Ensinamentos de Cultura","Material de Talento do Personagem","Domínio da Proficiência: Vale dos Raios","Ter, Sex, Dom"
"Ensinamentos do Elísio","Material de Talento do Personagem","Domínio da Proficiência: Legado Sombrio","Ter, Sex, Dom"
"Ensinamentos da Igualdade","Material de Talento do Personagem","Domínio da Proficiência: Ritmo Melódico","Seg, Qui, Dom"
"Ensinamentos da Tenacidade","Material de Talento do Personagem","Domínio da Proficiência: Eremitério","Ter, Sex, Dom"
"Ensinamentos de ""Liberdade""","Material de Talento do Personagem","Domínio da Proficiência: Altar Congelado","Seg, Qui, Dom"
"Ensinamentos da Glória","Material de Talento do Personagem","Domínio da Proficiência: Visão Compartilhada","Qua, Sáb, Dom"
"Ensinamentos de Ouro","Material de Talento do Personagem","Domínio da Proficiência: Círculos de Fogo","Qua, Sáb, Dom"
"Ensinamentos de Engenhosidade","Material de Talento do Personagem","Domínio da Proficiência: Sarcasmo","Ter, Sex, Dom"
"Ensinamentos da Justiça","Material de Talento do Personagem","Domínio da Proficiência: Retórica","Ter, Sex, Dom"
"Ensinamentos da Ignição","Material de Talento do Personagem","Domínio da Proficiência: Alienação","Ter, Sex, Dom"
"Ensinamentos da Luz Celeste","Material de Talento do Personagem","Domínio da Proficiência: Cidade Abandonada ao Kudzu","Qua, Sáb, Dom"
"Ensinamentos do Luar","Material de Talento do Personagem","Domínio da Proficiência: Cidade Caída","Seg, Qui, Dom"
"Ensinamentos da Ordem","Material de Talento do Personagem","Domínio da Proficiência: Recital Cristalino","Qua, Sáb, Dom"
"Ensinamentos de Práxis","Material de Talento do Personagem","Domínio da Proficiência: Cânone Páli","Qua, Sáb, Dom"
"Ensinamentos de Prosperidade","Material de Talento do Personagem","Domínio da Proficiência: Altar de Chamas","Seg, Qui, Dom"
"Ensinamentos de Resistência","Material de Talento do Personagem","Domínio da Proficiência: Abismo Congelante","Ter, Sex, Dom"
"Ensinamentos do Mundo Mortal","Material de Talento do Personagem","Domínio da Proficiência: País Violeta","Seg, Qui, Dom"
"Ensinamentos da Peregrinação","Material de Talento do Personagem","Domínio da Proficiência: Poleiro Virado","Qua, Sáb, Dom"
"Lágrima da Lua","Especialidade de Nod-Krai","Encontrado na Lua Gelada","Todos os dias"
"Lágrima da Deusa do Desastre","Material de Elevação de Personagem","Recompensa do Desafio da Guardiã da Eternidade (Nível 70+)","Todos os dias"
"A Pedra Angular das Estrelas e Chamas","Material de Elevação de Personagem","Obtido ao concluir missões regionais em Natlan","Todos os dias"
"Cerimônia do Imperador da Neve","Material de Ascensão de Armas","Domínio da Forja: Aço Rompido","Qua, Sáb, Dom"
"Despedida do Imperador da Neve","Material de Ascensão de Armas","Domínio da Forja: Aço Rompido","Qua, Sáb, Dom"
"Lamento do Imperador da Neve","Material de Ascensão de Armas","Domínio da Forja: Aço Rompido","Qua, Sáb, Dom"
